page_number,column,ad_type,section_name,layout
100,6,3단통,,"[[0, 0, 6, 7], [0, 7, 2, 5], [2, 7, 2, 5], [4, 7, 2, 5], [0, 12, 6, 3, ""광고_3단통""]]"
101,6,3단통,,"[[0, 0, 6, 7], [0, 7, 2, 5], [2, 7, 2, 5], [4, 7, 2, 5], [0, 12, 6, 3, ""광고_3단통""]]"
100,6,3단통,,"[[0, 0, 6, 7], [0, 7, 6, 5], [0, 12, 6, 3, ""광고_3단통""]]"
101,6,3단통,,"[[0, 0, 6, 7], [0, 7, 6, 5], [0, 12, 6, 3, ""광고_3단통""]]"
100,7,3단통,,"[[0, 0, 7, 12], [0, 12, 7, 3, ""광고_3단통""]]"
101,7,3단통,,"[[0, 0, 7, 12], [0, 12, 7, 3, ""광고_3단통""]]"
101,6,3단통,"","[[0, 0, 3, 12], [3, 0, 3, 3], [3, 3, 3, 3], [3, 6, 3, 3], [3, 9, 3, 3], [0, 12, 6, 3, ""광고_3단통""]]"
101,6,3단통,"","[[0, 0, 3, 12], [3, 0, 3, 12], [0, 12, 6, 3, ""광고_3단통""]]"
100,7,3단통,,"[[0, 0, 7, 7], [0, 7, 5, 5], [5, 7, 2, 5], [0, 12, 7, 3, ""광고_3단통""]]"
101,7,3단통,,"[[0, 0, 7, 7], [0, 7, 5, 5], [5, 7, 2, 5], [0, 12, 7, 3, ""광고_3단통""]]"
100,7,3단통,,"[[0, 0, 7, 7], [0, 7, 7, 5], [0, 12, 7, 3, ""광고_3단통""]]"
101,7,3단통,,"[[0, 0, 7, 7], [0, 7, 7, 5], [0, 12, 7, 3, ""광고_3단통""]]"
101,7,4단통,,"[[0, 0, 4, 4], [4, 0, 3, 4], [0, 4, 4, 4], [4, 4, 3, 3], [4, 7, 3, 4], [0, 8, 4, 3], [0, 11, 7, 4, ""광고_4단통""]]"
101,7,4단통,,"[[0, 0, 4, 6], [4, 0, 3, 3], [4, 3, 3, 3], [0, 6, 2, 5], [2, 6, 2, 5], [4, 6, 3, 3], [4, 9, 3, 2], [0, 11, 7, 4, ""광고_4단통""]]"
100,7,4단통,,"[[0, 0, 5, 5], [5, 0, 2, 4], [5, 4, 2, 4], [0, 5, 5, 3], [0, 8, 5, 3], [5, 8, 2, 3], [0, 11, 7, 4, ""광고_4단통""]]"
101,7,4단통,,"[[0, 0, 5, 5], [5, 0, 2, 4], [5, 4, 2, 4], [0, 5, 5, 3], [0, 8, 5, 3], [5, 8, 2, 3], [0, 11, 7, 4, ""광고_4단통""]]"
100,7,4단통,,"[[0, 0, 5, 6], [5, 0, 2, 5], [5, 5, 2, 6], [0, 6, 3, 5], [3, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
101,7,4단통,,"[[0, 0, 5, 6], [5, 0, 2, 5], [5, 5, 2, 6], [0, 6, 3, 5], [3, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
100,7,4단통,,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 5, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
101,7,4단통,,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 5, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
1,6,4단통,,"[[0, 1, 4, 5], [4, 1, 2, 5], [0, 6, 2, 5], [2, 6, 2, 5], [4, 6, 2, 5], [0, 11, 6, 4, ""광고_4단통""]]"
1,7,4단통,,"[[0, 1, 4, 5], [4, 1, 3, 6], [0, 6, 4, 5], [4, 7, 3, 4], [0, 11, 7, 4, ""광고_4단통""]]"
1,7,4단통,,"[[0, 1, 4, 6], [4, 1, 3, 4], [4, 5, 3, 3], [0, 7, 2, 4], [2, 7, 2, 4], [4, 8, 3, 3], [0, 11, 7, 4, ""광고_4단통""]]"
1,6,4단통,,"[[0, 1, 4, 7], [4, 1, 2, 5], [4, 6, 2, 5], [0, 8, 4, 3], [0, 11, 6, 4, ""광고_4단통""]]"
1,7,4단통,,"[[0, 1, 5, 5], [5, 1, 2, 5], [0, 6, 3, 5], [3, 6, 2, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
1,7,4단통,,"[[0, 1, 5, 5], [5, 1, 2, 5], [0, 6, 5, 3], [5, 6, 2, 5], [0, 9, 5, 2], [0, 11, 7, 4, ""광고_4단통""]]"
1,7,4단통,,"[[0, 1, 7, 5], [0, 6, 5, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
100,6,5단통,,"[[0, 0, 3, 10], [3, 0, 3, 10], [0, 10, 6, 5, ""광고_5단통""]]"
101,6,5단통,,"[[0, 0, 3, 10], [3, 0, 3, 10], [0, 10, 6, 5, ""광고_5단통""]]"
100,6,5단통,,"[[0, 0, 3, 3], [3, 0, 3, 3], [0, 3, 3, 4], [3, 3, 3, 4], [0, 7, 3, 3], [3, 7, 3, 3], [0, 10, 6, 5, ""광고_5단통""]]"
100,7,4단통,"","[[0, 0, 4, 6], [4, 0, 3, 3], [4, 3, 3, 3], [0, 6, 2, 5], [2, 6, 2, 5], [4, 6, 3, 3], [4, 9, 3, 2], [0, 11, 7, 4, ""광고_4단통""]]"
1,6,4단통,"","[[0, 1, 3, 6], [3, 1, 3, 4], [3, 5, 3, 6], [0, 7, 3, 4], [0, 11, 6, 4, ""광고_4단통""]]"
1,6,4단통,"","[[0, 1, 4, 4], [4, 1, 2, 6], [0, 5, 4, 3], [4, 7, 2, 4], [0, 8, 4, 3], [0, 11, 6, 4, ""광고_4단통""]]"
101,6,5단통,,"[[0, 0, 3, 3], [3, 0, 3, 3], [0, 3, 3, 4], [3, 3, 3, 4], [0, 7, 3, 3], [3, 7, 3, 3], [0, 10, 6, 5, ""광고_5단통""]]"
100,6,5단통,,"[[0, 0, 3, 4], [3, 0, 3, 4], [0, 4, 3, 3], [3, 4, 3, 3], [0, 7, 3, 3], [3, 7, 3, 3], [0, 10, 6, 5, ""광고_5단통""]]"
100,6,5단통,,"[[0, 0, 3, 5], [3, 0, 3, 5], [0, 5, 3, 5], [3, 5, 3, 5], [0, 10, 6, 5, ""광고_5단통""]]"
101,6,5단통,,"[[0, 0, 3, 5], [3, 0, 3, 5], [0, 5, 3, 5], [3, 5, 3, 5], [0, 10, 6, 5, ""광고_5단통""]]"
100,7,5단통,,"[[0, 0, 4, 10], [4, 0, 3, 4], [4, 4, 3, 3], [4, 7, 3, 3], [0, 10, 7, 5, ""광고_5단통""]]"
101,7,5단통,,"[[0, 0, 4, 10], [4, 0, 3, 4], [4, 4, 3, 3], [4, 7, 3, 3], [0, 10, 7, 5, ""광고_5단통""]]"
23,6,5단통,,"[[0, 0, 4, 6, ""기고""], [4, 0, 2, 10, ""사설""], [0, 6, 4, 4, ""기고""], [0, 10, 6, 5, ""광고_5단통""]]"
2,7,5단통,,"[[0, 0, 4, 7], [4, 0, 3, 4], [4, 4, 3, 3], [0, 7, 2, 3], [2, 7, 5, 3], [0, 10, 7, 5, ""광고_5단통""]]"
100,7,5단통,,"[[0, 0, 4, 7], [4, 0, 3, 4], [4, 4, 3, 3], [0, 7, 2, 3], [2, 7, 5, 3], [0, 10, 7, 5, ""광고_5단통""]]"
101,7,5단통,,"[[0, 0, 4, 7], [4, 0, 3, 4], [4, 4, 3, 3], [0, 7, 2, 3], [2, 7, 5, 3], [0, 10, 7, 5, ""광고_5단통""]]"
100,7,5단통,,"[[0, 0, 5, 5], [5, 0, 2, 5], [0, 5, 3, 5], [3, 5, 3, 3], [6, 5, 1, 5], [3, 8, 3, 2], [0, 10, 7, 5, ""광고_5단통""]]"
101,7,5단통,,"[[0, 0, 5, 5], [5, 0, 2, 5], [0, 5, 3, 5], [3, 5, 3, 3], [6, 5, 1, 5], [3, 8, 3, 2], [0, 10, 7, 5, ""광고_5단통""]]"
23,6,5단통,,"[[0, 0, 6, 4], [0, 4, 3, 6], [3, 4, 3, 6], [0, 10, 6, 5, ""광고_5단통""]]"
23,6,5단통,,"[[0, 0, 6, 4], [0, 4, 4, 6], [4, 4, 2, 6], [0, 10, 6, 5, ""광고_5단통""]]"
2,7,5단통,,"[[0, 0, 7, 10], [0, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
100,7,5단통,,"[[0, 0, 7, 10], [0, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
2,7,5단통,,"[[0, 0, 7, 4], [0, 4, 3, 3], [3, 4, 2, 3], [5, 4, 2, 3], [0, 7, 2, 3], [2, 7, 3, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
100,7,5단통,,"[[0, 0, 7, 4], [0, 4, 3, 3], [3, 4, 2, 3], [5, 4, 2, 3], [0, 7, 2, 3], [2, 7, 3, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
101,7,5단통,,"[[0, 0, 7, 4], [0, 4, 3, 3], [3, 4, 2, 3], [5, 4, 2, 3], [0, 7, 2, 3], [2, 7, 3, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
101,6,5단통,"","[[0, 0, 5, 5], [5, 0, 1, 5], [0, 5, 3, 5], [3, 5, 3, 3], [3, 8, 3, 2], [0, 10, 6, 5, ""광고_5단통""]]"
101,7,5단통,"","[[0, 0, 7, 10], [0, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
23,6,5단통,"","[[0, 0, 4, 6, ""기고""], [4, 0, 2, 10, ""사설""], [0, 6, 4, 4, ""기고""], [0, 10, 6, 5, ""광고_5단통""]]"
22,6,5단통,"","[[0, 0, 4, 5, ""기고""], [4, 0, 2, 10, ""사설""], [0, 5, 4, 5, ""기고""], [0, 10, 6, 5, ""광고_5단통""]]"
22,6,5단통,"","[[0, 0, 6, 4], [0, 4, 3, 6], [3, 4, 3, 6], [0, 10, 6, 5, ""광고_5단통""]]"
22,6,5단통,"","[[0, 0, 4, 6, ""기고""], [4, 0, 2, 10, ""사설""], [0, 6, 4, 4, ""기고""], [0, 10, 6, 5, ""광고_5단통""]]"
1,6,5단통,,"[[0, 1, 3, 6], [3, 1, 3, 5], [3, 6, 3, 4], [0, 7, 3, 3], [0, 10, 6, 5, ""광고_5단통""]]"
1,6,5단통,,"[[0, 1, 4, 6], [4, 1, 2, 5], [4, 6, 2, 4], [0, 7, 4, 3], [0, 10, 6, 5, ""광고_5단통""]]"
1,7,5단통,,"[[0, 1, 4, 6], [4, 1, 3, 5], [4, 6, 3, 4], [0, 7, 4, 3], [0, 10, 7, 5, ""광고_5단통""]]"
1,7,5단통,,"[[0, 1, 4, 6], [4, 1, 3, 6], [0, 7, 7, 3], [0, 10, 7, 5, ""광고_5단통""]]"
