id,page_number,column,ad_type,layout
39,100,7,4단통,"[[0, 0, 5, 6], [5, 0, 2, 5], [5, 5, 2, 6], [0, 6, 3, 5], [3, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
40,101,7,4단통,"[[0, 0, 5, 6], [5, 0, 2, 5], [5, 5, 2, 6], [0, 6, 3, 5], [3, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
41,100,7,4단통,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 5, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
42,101,7,4단통,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 5, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
43,1,6,4단통,"[[0, 1, 3, 6], [3, 1, 3, 4], [3, 5, 3, 6], [0, 7, 3, 4], [0, 11, 6, 4, ""광고_4단통""]]"
44,1,6,4단통,"[[0, 1, 4, 4], [4, 1, 2, 6], [0, 5, 4, 3], [4, 7, 2, 4], [0, 8, 4, 3], [0, 11, 6, 4, ""광고_4단통""]]"
45,1,6,4단통,"[[0, 1, 4, 5], [4, 1, 2, 5], [0, 6, 2, 5], [2, 6, 2, 5], [4, 6, 2, 5], [0, 11, 6, 4, ""광고_4단통""]]"
46,1,7,4단통,"[[0, 1, 4, 5], [4, 1, 3, 6], [0, 6, 4, 5], [4, 7, 3, 4], [0, 11, 7, 4, ""광고_4단통""]]"
47,1,7,4단통,"[[0, 1, 4, 6], [4, 1, 3, 4], [4, 5, 3, 3], [0, 7, 2, 4], [2, 7, 2, 4], [4, 8, 3, 3], [0, 11, 7, 4, ""광고_4단통""]]"
48,1,6,4단통,"[[0, 1, 4, 7], [4, 1, 2, 5], [4, 6, 2, 5], [0, 8, 4, 3], [0, 11, 6, 4, ""광고_4단통""]]"
49,1,7,4단통,"[[0, 1, 5, 5], [5, 1, 2, 5], [0, 6, 3, 5], [3, 6, 2, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
50,1,7,4단통,"[[0, 1, 5, 5], [5, 1, 2, 5], [0, 6, 5, 3], [5, 6, 2, 5], [0, 9, 5, 2], [0, 11, 7, 4, ""광고_4단통""]]"
51,1,7,4단통,"[[0, 1, 7, 5], [0, 6, 5, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
52,100,6,5단통,"[[0, 0, 3, 10], [3, 0, 3, 10], [0, 10, 6, 5, ""광고_5단통""]]"
53,101,6,5단통,"[[0, 0, 3, 10], [3, 0, 3, 10], [0, 10, 6, 5, ""광고_5단통""]]"
54,100,6,5단통,"[[0, 0, 3, 3], [3, 0, 3, 3], [0, 3, 3, 4], [3, 3, 3, 4], [0, 7, 3, 3], [3, 7, 3, 3], [0, 10, 6, 5, ""광고_5단통""]]"
55,101,6,5단통,"[[0, 0, 3, 3], [3, 0, 3, 3], [0, 3, 3, 4], [3, 3, 3, 4], [0, 7, 3, 3], [3, 7, 3, 3], [0, 10, 6, 5, ""광고_5단통""]]"
56,100,6,5단통,"[[0, 0, 3, 4], [3, 0, 3, 4], [0, 4, 3, 3], [3, 4, 3, 3], [0, 7, 3, 3], [3, 7, 3, 3], [0, 10, 6, 5, ""광고_5단통""]]"
57,100,6,5단통,"[[0, 0, 3, 5], [3, 0, 3, 5], [0, 5, 3, 5], [3, 5, 3, 5], [0, 10, 6, 5, ""광고_5단통""]]"
58,101,6,5단통,"[[0, 0, 3, 5], [3, 0, 3, 5], [0, 5, 3, 5], [3, 5, 3, 5], [0, 10, 6, 5, ""광고_5단통""]]"
59,100,7,5단통,"[[0, 0, 4, 10], [4, 0, 3, 4], [4, 4, 3, 3], [4, 7, 3, 3], [0, 10, 7, 5, ""광고_5단통""]]"
60,101,7,5단통,"[[0, 0, 4, 10], [4, 0, 3, 4], [4, 4, 3, 3], [4, 7, 3, 3], [0, 10, 7, 5, ""광고_5단통""]]"
61,22,6,5단통,"[[0, 0, 4, 5, ""기고"", ""extend_2""], [4, 0, 2, 10, ""사설""], [0, 5, 4, 5, ""기고"", ""push_2""], [0, 10, 6, 5, ""광고_5단통""]]"
62,23,6,5단통,"[[0, 0, 4, 5, ""기고""], [4, 0, 2, 10, ""사설""], [0, 5, 4, 5, ""기고""], [0, 10, 6, 5, ""광고_5단통""]]"
63,22,6,5단통,"[[0, 0, 4, 6, ""기고""], [4, 0, 2, 10, ""사설""], [0, 6, 4, 4, ""기고""], [0, 10, 6, 5, ""광고_5단통""]]"
64,23,6,5단통,"[[0, 0, 4, 6, ""기고""], [4, 0, 2, 10, ""사설""], [0, 6, 4, 4, ""기고""], [0, 10, 6, 5, ""광고_5단통""]]"
65,2,7,5단통,"[[0, 0, 4, 7], [4, 0, 3, 4], [4, 4, 3, 3], [0, 7, 2, 3], [2, 7, 5, 3], [0, 10, 7, 5, ""광고_5단통""]]"
66,100,7,5단통,"[[0, 0, 4, 7], [4, 0, 3, 4], [4, 4, 3, 3], [0, 7, 2, 3], [2, 7, 5, 3], [0, 10, 7, 5, ""광고_5단통""]]"
67,101,7,5단통,"[[0, 0, 4, 7], [4, 0, 3, 4], [4, 4, 3, 3], [0, 7, 2, 3], [2, 7, 5, 3], [0, 10, 7, 5, ""광고_5단통""]]"
68,100,6,5단통,"[[0, 0, 5, 5], [5, 0, 1, 5], [0, 5, 3, 5], [3, 5, 3, 3], [6, 5, 1, 5], [3, 8, 3, 2], [0, 10, 6, 5, ""광고_5단통""]]"
69,101,6,5단통,"[[0, 0, 5, 5], [5, 0, 1, 5], [0, 5, 3, 5], [3, 5, 3, 3], [6, 5, 1, 5], [3, 8, 3, 2], [0, 10, 6, 5, ""광고_5단통""]]"
70,100,7,5단통,"[[0, 0, 5, 5], [5, 0, 2, 5], [0, 5, 3, 5], [3, 5, 3, 3], [6, 5, 1, 5], [3, 8, 3, 2], [0, 10, 7, 5, ""광고_5단통""]]"
71,101,7,5단통,"[[0, 0, 5, 5], [5, 0, 2, 5], [0, 5, 3, 5], [3, 5, 3, 3], [6, 5, 1, 5], [3, 8, 3, 2], [0, 10, 7, 5, ""광고_5단통""]]"
72,22,6,5단통,"[[0, 0, 6, 4], [0, 4, 3, 6], [3, 4, 3, 6], [0, 10, 6, 5, ""광고_5단통""]]"
73,23,6,5단통,"[[0, 0, 6, 4], [0, 4, 3, 6], [3, 4, 3, 6], [0, 10, 6, 5, ""광고_5단통""]]"
74,23,6,5단통,"[[0, 0, 6, 4], [0, 4, 4, 6], [4, 4, 2, 6], [0, 10, 6, 5, ""광고_5단통""]]"
75,2,7,5단통,"[[0, 0, 7, 10], [0, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
76,100,7,5단통,"[[0, 0, 7, 10], [0, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
77,101,7,5단통,"[[0, 0, 7, 10], [0, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
78,2,7,5단통,"[[0, 0, 7, 4], [0, 4, 3, 3], [3, 4, 2, 3], [5, 4, 2, 3], [0, 7, 2, 3], [2, 7, 3, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
79,100,7,5단통,"[[0, 0, 7, 4], [0, 4, 3, 3], [3, 4, 2, 3], [5, 4, 2, 3], [0, 7, 2, 3], [2, 7, 3, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
80,101,7,5단통,"[[0, 0, 7, 4], [0, 4, 3, 3], [3, 4, 2, 3], [5, 4, 2, 3], [0, 7, 2, 3], [2, 7, 3, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
81,1,6,5단통,"[[0, 1, 3, 3], [3, 1, 3, 4], [0, 4, 3, 4], [3, 5, 3, 5], [0, 8, 3, 2], [0, 10, 6, 5, ""광고_5단통""]]"
82,1,6,5단통,"[[0, 1, 3, 6], [3, 1, 3, 5], [3, 6, 3, 4], [0, 7, 3, 3], [0, 10, 6, 5, ""광고_5단통""]]"
